timestamp,src_ip,dst_ip,src_port,dst_port,protocol,payload_size,dns_query,http_host,http_uri,flags,is_suspicious
2025-01-22T19:45:10.080023+00:00,52.178.17.235,10.1.17.215,443.0,50090.0,TCP,339,,,,PA,False
2025-01-22T19:45:10.087793+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,187,,,,PA,False
2025-01-22T19:45:10.088080+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,1425,,,,PA,False
2025-01-22T19:45:10.127762+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:10.254976+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,60,,,,A,False
2025-01-22T19:45:10.255168+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,162,,,,PA,False
2025-01-22T19:45:10.260317+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,60,,,,FA,False
2025-01-22T19:45:10.261004+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,60,,,,FA,False
2025-01-22T19:45:10.419946+00:00,52.178.17.235,10.1.17.215,443.0,50090.0,TCP,60,,,,FA,False
2025-01-22T19:45:10.420096+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,96,,,,PA,False
2025-01-22T19:45:10.420096+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,60,,,,FA,False
2025-01-22T19:45:10.420540+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:10.420540+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,60,,,,RA,False
2025-01-22T19:45:10.420541+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,60,,,,R,False
